mode,mx,my,x0,vx0,nx,xmin,xmax,ny,ymin,ymax,y0,vy0,sigmay,total_time,timesteps,lambda,n_eig,filename
cq,0.25,1.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.25_my1.0
cq,0.25,2.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.25_my2.0
cq,0.25,4.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.25_my4.0
cq,0.5,1.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.5_my1.0
cq,0.5,2.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.5_my2.0
cq,0.5,4.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx0.5_my4.0
cq,1.0,1.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx1.0_my1.0
cq,1.0,2.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx1.0_my2.0
cq,1.0,4.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx1.0_my4.0
cq,2.0,1.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx2.0_my1.0
cq,2.0,2.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx2.0_my2.0
cq,2.0,4.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx2.0_my4.0
cq,4.0,1.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx4.0_my1.0
cq,4.0,2.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx4.0_my2.0
cq,4.0,4.0,0.0,0.0,256,-10.0,10.0,4096,-15.0,130.0,10.0,-1.0,3.0,30.0,4096,1.0,32,cq_mx4.0_my4.0
